2024-06-14 16:05:22.749 [main] INFO  c.j.s.SysMonitorCaptureApplication - Starting SysMonitorCaptureApplication using Java 21.0.3 with PID 8928 (/home/jiuth/1-Code/2024_training/jiu-sys-monitor/sys-monitor-capture/target/classes started by jiuth in /home/jiuth/1-Code/2024_training/jiu-sys-monitor)
2024-06-14 16:05:22.758 [main] INFO  c.j.s.SysMonitorCaptureApplication - The following 1 profile is active: "dev"
2024-06-14 16:05:23.207 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.791 seconds (process running for 1.123)
2024-06-14 16:06:04.713 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.769 seconds (process running for 1.09)
2024-06-14 16:11:48.746 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.792 seconds (process running for 1.124)
2024-06-14 16:14:19.600 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.781 seconds (process running for 1.11)
2024-06-14 16:17:11.555 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.805 seconds (process running for 1.126)
2024-06-14 16:18:51.691 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.796 seconds (process running for 1.113)
2024-06-14 16:20:15.565 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.784 seconds (process running for 1.104)
2024-06-14 16:21:41.763 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.788 seconds (process running for 1.094)
2024-06-14 16:24:07.239 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.786 seconds (process running for 1.107)
2024-06-14 16:26:00.549 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.795 seconds (process running for 1.112)
2024-06-14 16:27:00.469 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.801 seconds (process running for 1.13)
2024-06-14 16:28:00.281 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.861 seconds (process running for 1.183)
2024-06-14 16:28:19.332 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.858 seconds (process running for 1.181)
2024-06-14 16:30:19.411 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.827 seconds (process running for 1.145)
2024-06-14 16:35:25.264 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 154.461 seconds (process running for 154.779)
2024-06-14 16:35:53.944 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.74 seconds (process running for 1.046)
2024-06-14 16:39:02.980 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.79 seconds (process running for 1.104)
2024-06-14 16:47:47.484 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.796 seconds (process running for 1.111)
2024-06-14 17:16:11.168 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.816 seconds (process running for 1.131)
2024-06-14 17:16:45.325 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.777 seconds (process running for 1.099)
2024-06-14 17:34:56.413 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.819 seconds (process running for 1.129)
2024-06-14 17:35:47.442 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.84 seconds (process running for 1.213)
2024-06-14 17:37:33.825 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.839 seconds (process running for 1.184)
2024-06-14 17:38:59.184 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.849 seconds (process running for 1.19)
2024-06-14 17:41:13.114 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.861 seconds (process running for 1.203)
2024-06-14 17:41:57.248 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.827 seconds (process running for 1.152)
2024-06-15 15:41:58.119 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 1.202 seconds (process running for 1.577)
2024-06-15 15:52:24.958 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.877 seconds (process running for 1.229)
2024-06-15 15:54:12.020 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.838 seconds (process running for 1.175)
2024-06-15 15:54:57.304 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 0.883 seconds (process running for 1.222)
2024-06-15 16:06:06.793 [main] INFO  c.j.s.SysMonitorCaptureApplication - Started SysMonitorCaptureApplication in 1.391 seconds (process running for 1.728)
